id,system_name,star_id,orbital_position,designation,common_name,planet_type,atmosphere,hydrosphere,biosphere,habitability,notes
77,ELAM,21,1,Elam I,Tideland,Rocky,Thin,Trace,Complex,Marginal,Tidally locked. Habitable terminator zone. Lithoid homeworld.
78,ELAM,21,3,Elam III,Deep Red,Dwarf,None,Ice,None,Hostile,Distant ice dwarf. Unexplored.
79,JARMO,22,1,Jarmo I,Bright,Rocky,Thin,None,None,Hostile,Close orbit. Intense radiation.
80,JARMO,22,2,Jarmo II,Gateway,Rocky,Standard,Trace,Primitive,Comfortable,Gateway world to eastern territories.
81,JARMO,22,3,Jarmo III,Promise,Rocky,Standard,Moderate,Primitive,Comfortable,Developing colony. Growing population.
82,JARMO,22,4,Jarmo IV,Giant,GasGiant,Exotic,None,None,Hostile,Standard gas giant. Fuel operations.
83,UMMA,23,1,Umma I,Char,Rocky,None,None,None,Hostile,Burned out. Abandoned after ancient war.
84,UMMA,23,2,Umma II,Contested,Rocky,Thin,Trace,Microbial,Marginal,War-torn world. Multiple claims. Ruined cities.
85,UMMA,23,3,Umma III,Bounty,Rocky,Standard,Moderate,Complex,Comfortable,Agricultural world. Fought over for resources.
86,UMMA,23,5,Umma V,Giants Toll,GasGiant,Exotic,None,None,Hostile,Fuel source. Dangerous approach vectors.
87,GIRSU,24,1,Girsu I,Hive,Rocky,Dense,Trace,Sapient,Marginal,Vesh homeworld. Dense atmosphere suits their biology.
88,GIRSU,24,2,Girsu II,Colony,Rocky,Dense,Trace,Complex,Marginal,Secondary Vesh world. Expanding hive territory.
89,ISIN,25,1,Isin I,Pale,Rocky,Thin,None,None,Hostile,Dim world. Sparse mineral deposits.
90,ISIN,25,2,Isin II,Path,Rocky,Thin,Trace,Microbial,Marginal,Gateway to Nineveh. Strategic importance.
91,SUMER,26,1,Sumer I,Legacy,Rocky,Thin,None,None,Hostile,Ancient mining operations. Long exhausted.
92,SUMER,26,2,Sumer II,Eternal,Rocky,Standard,Trace,Complex,Comfortable,Remnant homeworld. Machine civilization center.
93,SUMER,26,3,Sumer III,Archive,Rocky,Thin,Trace,Primitive,Marginal,Data storage. Remnant memory banks.
94,AKKAD,27,1,Akkad I,Jewel,Rocky,Standard,Ocean,Complex,Garden,Kethrani homeworld. Vast oceans teem with life.
95,AKKAD,27,2,Akkad II,Pearl,Rocky,Standard,Ocean,Complex,Comfortable,Secondary ocean world. Kethrani colonies.
96,AKKAD,27,3,Akkad III,Atoll,Rocky,Standard,Moderate,Primitive,Comfortable,Island world. Mixed populations.
97,AKKAD,27,4,Akkad IV,Deep,GasGiant,Exotic,None,None,Hostile,Gas giant with water-rich moons.
98,KISH,28,1,Kish I,Glassine,Rocky,Thin,None,None,Hostile,Crystal formations cover surface. Mining operations.
99,KISH,28,2,Kish II,Pilgrims End,Rocky,Thin,Trace,Primitive,Marginal,Religious colony. Ancient shrine draws faithful.
100,KISH,28,3,Kish III,Nexus,Rocky,Standard,Moderate,Complex,Comfortable,Free port. True cosmopolitan melting pot.
101,KISH,28,4,Kish IV,Rampart,GasGiant,Exotic,None,None,Hostile,Fortress moons. Mercenary stronghold.
102,KISH,28,5,Kish V,Twilight,IceGiant,Dense,Ice,None,Hostile,Research outpost on outer edge.
103,ERIDU,29,1,Eridu I,Warm,Rocky,Thin,None,None,Hostile,Close orbit. Minimal resources.
104,ERIDU,29,2,Eridu II,Passage,Rocky,Standard,Trace,Primitive,Comfortable,Gateway to Ugarit. Trade center.
105,ERIDU,29,3,Eridu III,Setting,Rocky,Standard,Moderate,Primitive,Comfortable,Colony world. Growing population.
